Population,Family.Unique,Block.ID,HabitatType,Region,No.Days.to.Germ,Dist.from.cg.km,Germination.Y.N,Survival.Y.N,Survival.Y.N.2017,Flower.Y.N.2016,Flower.Y.N.2017,No.Flowers.2016,Total.Flowers.2017,Fruit.Y.N.2016,Fruit.Y.N.2017,No.Fruit.2016,No.Fruit.2017,sm,sm.2,Surv2017,sm2017,PC1,PC2,flw.no2017
AB-LL,AB-LL_5,3,Prairie,Prairie,10,1348.389,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,-3.828798263,0.090659321,0
AB-LL,AB-LL_5,4,Prairie,Prairie,12,1348.389,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.828798263,0.090659321,0
AB-LL,AB-LL_5,5,Prairie,Prairie,13,1348.389,1,1,1,0,1,0,1,0,0,0,0,0,0,1,0,-3.828798263,0.090659321,1
AB-LL,AB-LL_5,6,Prairie,Prairie,10,1348.389,1,1,1,0,1,0,1,0,0,0,0,0,0,1,0,-3.828798263,0.090659321,1
AB-LL,AB-LL_5,7,Prairie,Prairie,17,1348.389,1,1,1,0,1,0,11,0,1,0,8,0,636,1,636,-3.828798263,0.090659321,11
AB-LL,AB-LL_5,8,Prairie,Prairie,14,1348.389,1,1,1,0,1,0,0,0,0,0,0,0,0,1,0,-3.828798263,0.090659321,0
AB-LL,AB-LL_5,9,Prairie,Prairie,10,1348.389,1,1,1,0,1,0,1,0,1,0,0,0,0,1,0,-3.828798263,0.090659321,1
AB-LL,AB-LL_7,1,Prairie,Prairie,14,1348.389,1,1,1,0,1,0,3,0,1,0,1,0,46,1,46,-3.828798263,0.090659321,3
AB-LL,AB-LL_7,10,Prairie,Prairie,11,1348.389,1,1,1,0,1,0,3,0,1,0,0,0,0,1,0,-3.828798263,0.090659321,3
AB-LL,AB-LL_7,11,Prairie,Prairie,12,1348.389,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.828798263,0.090659321,0
AB-LL,AB-LL_7,5,Prairie,Prairie,11,1348.389,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,-3.828798263,0.090659321,0
AB-LL,AB-LL_7,2,Prairie,Prairie,9,1348.389,1,1,1,0,1,0,3,0,0,0,0,0,0,1,0,-3.828798263,0.090659321,3
AB-LL,AB-LL_7,3,Prairie,Prairie,10,1348.389,1,1,1,0,1,0,9,0,1,0,7,0,404,1,404,-3.828798263,0.090659321,9
AB-LL,AB-LL_7,4,Prairie,Prairie,14,1348.389,1,1,1,0,1,0,1,0,0,0,0,0,0,1,0,-3.828798263,0.090659321,1
AB-LL,AB-LL_7,9,Prairie,Prairie,12,1348.389,1,1,1,1,1,1,2,0,1,0,1,0,151,1,151,-3.828798263,0.090659321,2
AB-LL,AB-LL_7,6,Prairie,Prairie,13,1348.389,1,1,1,0,1,0,1,0,1,0,1,0,41,1,41,-3.828798263,0.090659321,1
AB-LL,AB-LL_7,7,Prairie,Prairie,9,1348.389,1,1,1,0,1,0,9,0,1,0,8,0,642,1,642,-3.828798263,0.090659321,9
AB-LL,AB-LL_7,8,Prairie,Prairie,14,1348.389,1,1,1,0,1,0,5,0,1,0,4,0,153,1,153,-3.828798263,0.090659321,5
AB-RO,AB-RO_18,10,Prairie,Prairie,20,1058.689,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.383976233,-3.064623951,0
AB-RO,AB-RO_18,2,Prairie,Prairie,14,1058.689,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.383976233,-3.064623951,0
AB-RO,AB-RO_18,4,Prairie,Prairie,15,1058.689,1,1,1,0,1,0,1,0,0,0,0,0,0,1,0,-4.383976233,-3.064623951,1
AB-RO,AB-RO_8,1,Prairie,Prairie,14,1058.689,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,-4.383976233,-3.064623951,0
AB-RO,AB-RO_8,12,Prairie,Prairie,17,1058.689,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.383976233,-3.064623951,0
AB-RO,AB-RO_8,4,Prairie,Prairie,13,1058.689,1,1,1,0,1,0,1,0,0,0,0,0,0,1,0,-4.383976233,-3.064623951,1
AB-RO,AB-RO_8,5,Prairie,Prairie,22,1058.689,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.383976233,-3.064623951,0
AB-RO,AB-RO_8,6,Prairie,Prairie,14,1058.689,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,-4.383976233,-3.064623951,0
AB-RO,AB-RO_8,7,Prairie,Prairie,20,1058.689,1,1,1,0,1,0,0,0,0,0,0,0,0,1,0,-4.383976233,-3.064623951,0
AB-RO,AB-RO_8,8,Prairie,Prairie,16,1058.689,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.383976233,-3.064623951,0
CAR-NBA,CAR-NBA_7,6,Alvar,GL_alvar,9,1368.191,1,1,1,1,1,4,8,0,1,0,6,0,403,1,403,2.575403033,1.481069919,8
CAR-NBA,CAR-NBA_1,1,Alvar,GL_alvar,12,1368.191,1,1,1,1,1,27,37,0,1,0,27,0,2887,1,2887,2.575403033,1.481069919,37
CAR-NBA,CAR-NBA_1,10,Alvar,GL_alvar,10,1368.191,1,1,1,1,1,4,13,0,1,0,9,0,868,1,868,2.575403033,1.481069919,13
CAR-NBA,CAR-NBA_1,11,Alvar,GL_alvar,9,1368.191,1,1,1,1,1,8,12,0,1,0,7,0,976,1,976,2.575403033,1.481069919,12
CAR-NBA,CAR-NBA_1,12,Alvar,GL_alvar,12,1368.191,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2.575403033,1.481069919,0
CAR-NBA,CAR-NBA_1,2,Alvar,GL_alvar,13,1368.191,1,1,1,1,1,2,20,0,1,0,8,0,514,1,514,2.575403033,1.481069919,20
CAR-NBA,CAR-NBA_1,3,Alvar,GL_alvar,11,1368.191,1,1,1,1,1,45,28,1,1,3,23,0,2124,1,2124,2.575403033,1.481069919,28
CAR-NBA,CAR-NBA_1,4,Alvar,GL_alvar,8,1368.191,1,1,1,1,1,2,22,0,1,0,10,0,746,1,746,2.575403033,1.481069919,22
CAR-NBA,CAR-NBA_1,6,Alvar,GL_alvar,11,1368.191,1,1,1,1,1,23,26,1,1,1,19,9,1395,1,1404,2.575403033,1.481069919,26
CAR-NBA,CAR-NBA_1,9,Alvar,GL_alvar,8,1368.191,1,1,1,0,1,0,16,0,1,0,7,0,598,1,598,2.575403033,1.481069919,16
