Population,Family.Unique,Block.ID,HabitatType,Dist.from.cg.km,No.Days.to.Germ,Region,Germination.Y.N,Survival.Y.N,Flower.Y.N.2016,No.Flowers.2016,Fruit.Y.N.2016,No.Fruit.2016,sm,PC1,PC2,flw.no2016
AB-LL,AB-LL_34,4,Prairie,1348.389,13,Prairie,1,1,0,0,0,0,0,-3.828798263,0.090659321,0
AB-LL,AB-LL_34,5,Prairie,1348.389,10,Prairie,1,1,0,0,0,0,0,-3.828798263,0.090659321,0
AB-LL,AB-LL_7,10,Prairie,1348.389,11,Prairie,1,1,0,0,0,0,0,-3.828798263,0.090659321,0
AB-LL,AB-LL_7,11,Prairie,1348.389,12,Prairie,1,1,0,0,0,0,0,-3.828798263,0.090659321,0
AB-LL,AB-LL_7,12,Prairie,1348.389,12,Prairie,1,1,0,0,0,0,0,-3.828798263,0.090659321,0
AB-LL,AB-LL_5,12,Prairie,1348.389,10,Prairie,1,1,0,0,0,0,0,-3.828798263,0.090659321,0
AB-LL,AB-LL_5,2,Prairie,1348.389,9,Prairie,1,1,0,0,0,0,0,-3.828798263,0.090659321,0
AB-LL,AB-LL_5,3,Prairie,1348.389,10,Prairie,1,1,0,0,0,0,0,-3.828798263,0.090659321,0
AB-LL,AB-LL_5,4,Prairie,1348.389,12,Prairie,1,1,0,0,0,0,0,-3.828798263,0.090659321,0
AB-LL,AB-LL_5,5,Prairie,1348.389,13,Prairie,1,1,0,0,0,0,0,-3.828798263,0.090659321,0
AB-LL,AB-LL_5,6,Prairie,1348.389,10,Prairie,1,1,0,0,0,0,0,-3.828798263,0.090659321,0
AB-LL,AB-LL_5,7,Prairie,1348.389,17,Prairie,1,1,0,0,0,0,0,-3.828798263,0.090659321,0
AB-LL,AB-LL_5,8,Prairie,1348.389,14,Prairie,1,1,0,0,0,0,0,-3.828798263,0.090659321,0
AB-LL,AB-LL_5,9,Prairie,1348.389,10,Prairie,1,1,0,0,0,0,0,-3.828798263,0.090659321,0
AB-LL,AB-LL_7,1,Prairie,1348.389,14,Prairie,1,1,0,0,0,0,0,-3.828798263,0.090659321,0
AB-LL,AB-LL_7,3,Prairie,1348.389,10,Prairie,1,1,0,0,0,0,0,-3.828798263,0.090659321,0
AB-LL,AB-LL_7,4,Prairie,1348.389,14,Prairie,1,1,0,0,0,0,0,-3.828798263,0.090659321,0
AB-LL,AB-LL_7,5,Prairie,1348.389,11,Prairie,1,1,0,0,0,0,0,-3.828798263,0.090659321,0
AB-LL,AB-LL_7,2,Prairie,1348.389,9,Prairie,1,1,0,0,0,0,0,-3.828798263,0.090659321,0
AB-LL,AB-LL_7,7,Prairie,1348.389,9,Prairie,1,1,0,0,0,0,0,-3.828798263,0.090659321,0
