Population,Family.Unique,Block.ID,HabitatType,Region,Dist.from.cg.km,Germination.Y.N,Survival.Y.N,Surv2017,Surv2018,Flower.Y.N.2016,Flower.Y.N.2017,No.Flowers.2016,Total.Flowers.2017,Fruit.Y.N.2016,Fruit.Y.N.2017,No.Fruit.2016,No.Fruit.2017,sm,sm.2,sm.3,Flowering.Y.N.2018,Total.Flowers.2018,Fruit.Y.N.2018,No.Fruit.2018,sm.tot,No.Days.to.Germ,Dist.from.cg.km.1,PC1,PC2,flw.no2018
CAR-NBA,CAR-NBA_1,10,Alvar,GL_alvar,1368.191,1,1,1,1,1,1,4,13,0,1,0,9,0,868,386,1,5,1,4,1254,10,1368.191,2.575403033,1.481069919,5
CAR-NBA,CAR-NBA_1,11,Alvar,GL_alvar,1368.191,1,1,1,1,1,1,8,12,0,1,0,7,0,976,184,1,4,1,3,1160,9,1368.191,2.575403033,1.481069919,4
CAR-NBA,CAR-NBA_1,12,Alvar,GL_alvar,1368.191,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,1368.191,2.575403033,1.481069919,0
CAR-NBA,CAR-NBA_1,2,Alvar,GL_alvar,1368.191,1,1,1,1,1,1,2,20,0,1,0,8,0,514,2984,1,21,1,19,3498,13,1368.191,2.575403033,1.481069919,21
CAR-NBA,CAR-NBA_1,3,Alvar,GL_alvar,1368.191,1,1,1,1,1,1,45,28,1,1,3,23,0,2124,1821,1,12,1,12,3945,11,1368.191,2.575403033,1.481069919,12
CAR-NBA,CAR-NBA_1,4,Alvar,GL_alvar,1368.191,1,1,1,1,1,1,2,22,0,1,0,10,0,746,777,1,8,1,7,1523,8,1368.191,2.575403033,1.481069919,8
CAR-NBA,CAR-NBA_1,6,Alvar,GL_alvar,1368.191,1,1,1,1,1,1,23,26,1,1,1,19,9,1395,582,1,7,1,7,1986,11,1368.191,2.575403033,1.481069919,7
CAR-NBA,CAR-NBA_1,9,Alvar,GL_alvar,1368.191,1,1,1,1,0,1,0,16,0,1,0,7,0,598,442,1,6,1,4,1040,8,1368.191,2.575403033,1.481069919,6
CAR-NBA,CAR-NBA_10,1,Alvar,GL_alvar,1368.191,1,1,1,1,1,1,1,12,1,1,1,9,4,666,1334,1,11,1,10,2004,11,1368.191,2.575403033,1.481069919,11
CAR-NBA,CAR-NBA_10,10,Alvar,GL_alvar,1368.191,1,1,1,1,1,1,1,7,0,1,0,4,0,223,0,1,1,0,0,223,8,1368.191,2.575403033,1.481069919,1
CAR-NBA,CAR-NBA_10,11,Alvar,GL_alvar,1368.191,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,1368.191,2.575403033,1.481069919,0
